ID_Lloyds	Name_Lloyds (COUNTRY)	COUNTRY
('528',)	Archangel (RUS)	RUS
('255',)	Archer Point (AUS)	AUS
('5388',)	Arctica ()	
('4057',)	Ardersier (GBR)	GBR
('88',)	Ardrishaig (GBR)	GBR
('1960',)	Ardrossan(AUS) (AUS)	AUS
('5405',)	Ardrossan(GBR) (GBR)	GBR
('9862',)	Ardveenish (GBR)	GBR
('1195',)	Ardyne Point (GBR)	GBR
('2829',)	Arecibo (PRI)	PRI
('2895',)	Arendal (NOR)	NOR
('4507',)	Aresund (SWE)	SWE
('5112',)	Argentia (CAN)	CAN
('977',)	Argentina (ARG)	ARG
('1381',)	Argolis (GRC)	GRC
('416',)	Argostoli (GRC)	GRC
('2312',)	Arguineguin (CNI)	CNI
('660',)	Argyll Terminal (GBR)	GBR
('5838',)	Ariake (JPN)	JPN
('5923',)	Arica (CHL)	CHL
('7571',)	Arida (JPN)	JPN
('10315',)	Arinaga (CNI)	CNI
('294',)	Arjuna Terminal (IDN)	IDN
('10713',)	Arkansas (USA)	USA
('3338',)	Arklow (IRL)	IRL
('6462',)	Arlen Siu (NIC)	NIC
('6261',)	Arles (FRA)	FRA
('2374',)	Armuelles (PAN)	PAN
('3996',)	Arnhem (NLD)	NLD
('9767',)	Arnold (USA)	USA
('8986',)	Arnos Vale (VCT)	VCT
('8499',)	Arraial do Cabo (BRA)	BRA
('1436',)	Arran Is. (GBR)	GBR
('3434',)	Arrecife (CNI)	CNI
('9996',)	Arrecife(VEN) (VEN)	VEN
('1518',)	Arroyo Barril (DOM)	DOM
('6373',)	Arroyo Barril Roads (DOM)	DOM
('577',)	Arroyo Seco (ARG)	ARG
('9818',)	Arsuk (GRL)	GRL
('978',)	Aru Bay (IDN)	IDN
('5426',)	Aruba (ABW)	ABW
('10276',)	Aruba Anch. (ABW)	ABW
('5169',)	Arvika (SWE)	SWE
('1108',)	Arwad Is. (SYR)	SYR
('1322',)	Arzanah Is. (ARE)	ARE
('4666',)	Arzew (DZA)	DZA
('10288',)	Arzew Anch. (DZA)	DZA
('1008',)	Asa (DNK)	DNK
('8574',)	Asaa (DNK)	DNK
('8624',)	Asaluyeh Terminal (IRN)	IRN
('10627',)	Asam Asam (IDN)	IDN
('1681',)	Asan Bay (KOR)	KOR
('1853',)	Asau (WSM)	WSM
('4460',)	Ascension (SHN)	SHN
('1201',)	Aschaffenburg (DEU)	DEU
('10218',)	Aseng Terminal (GNQ)	GNQ
('7524',)	Ash Shihr Terminal (YEM)	YEM
